processid,sampleid,recordID,catalognum,fieldnum,institution_storing,collection_code,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,identification_method,identification_reference,tax_note,voucher_status,tissue_type,collection_event_id,collectors,collectiondate_start,collectiondate_end,collectiontime,collection_note,site_code,sampling_protocol,lifestage,sex,reproduction,habitat,associated_specimens,associated_taxa,extrainfo,notes,lat,lon,coord_source,coord_accuracy,elev,depth,elev_accuracy,depth_accuracy,country,province_state,region,sector,exactsite,image_ids,image_urls,media_descriptors,captions,copyright_holders,copyright_years,copyright_licenses,copyright_institutions,photographers
ANGBF42806-19,KU317873,10141164,,,"Mined from GenBank, NCBI",,BOLD:AAB8146,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1282,Scorpaenidae,47142,Pteroinae,4014,Pterois,10737,Pterois miles,,,,,"Bennett, 1828",,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi Arabia,,,,,,,,,,,,,
ANGBF42818-19,KT358532,10141176,,,"Mined from GenBank, NCBI",,BOLD:AAB2675,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1282,Scorpaenidae,47142,Pteroinae,4014,Pterois,47144,Pterois volitans,,,,,"Linnaeus, 1758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCOLL183-06,AL200603-048,289865,USNM-387797-AL200603-048,AL200603-048,Smithsonian Institution,,BOLD:AAB2675,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1282,Scorpaenidae,47142,Pteroinae,4014,Pterois,47144,Pterois volitans,,,,,"Linnaeus, 1758",,,,,NEFSC,,,,,,,,,,,,,,132mm SL,34.856,-75.556,,,,,,,United States,North Carolina,,,sta. 048,,,,,,,,,
BIM902-21,BIM NA-562,13366498,SMNHTAU,NA-562,"Tel Aviv University, The Steinhardt Museum of Natural History",,BOLD:AAB8146,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1282,Scorpaenidae,47142,Pteroinae,4014,Pterois,10737,Pterois miles,,,Nir Stern,,"Bennett, 1828",,To Be Vouchered:Holdup/Private,Muscle,,Stern Nir,,,,Scientific research,,Bottom trawl,Adult,,S,Marine,,,,,31.801,34.53,,,,40,,,Israel,Southern,Eastern Mediterranean,Levant Basin,Ashdod,,,,,,,,,
COFPL031-15,COFJAU84,6711422,COFJAUVRL 84F,,"Junagadh Agricultural University, College of Fisheries Science",,,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1282,Scorpaenidae,47142,Pteroinae,4014,Pterois,10737,Pterois miles,,,Sajidkhan I Yusufzai,Morphological,"Bennett, 1828",,,fins,,Mr. Smit R Lende,,,Indian Winter,All samples are collected from Bhidiya Harbour / Landing centre,,Hand Picked,Adult,,S,,,,,,20.9,70.37,,,,,,,India,Gujarat,Veraval,Bhidiya Harbour,,,,,,,,,,
CSFOM061-10,CSFOM-077,1694234,CSFOM-077,,"University of Palermo, Dept. of Animal Biology",,BOLD:AAB8146,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1282,Scorpaenidae,47142,Pteroinae,4014,Pterois,10737,Pterois miles,,,Marco Arculeo,,"Bennett, 1828",,,,,,,,,,,,A,,,,,,FAO-37,,42.982,12.7637,Coordinates from country centroid,,,,,,Italy,,Sicily,,,,,,,,,,,
FOAM235-10,BW-A10198,1634168,KD682,IN02169,"CSIRO, Australian National Fish Collection",,BOLD:AAB2675,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1282,Scorpaenidae,47142,Pteroinae,4014,Pterois,47144,Pterois volitans,,,William White,,"Linnaeus, 1758",,,,,W White & J Pogonoski,,,,,,,,,,,,,FAO-57,,-8.75,115.15,,,,,,,Indonesia,Bali,,,"Kedonganan, Bali",,,,,,,,,
FOAO1947-19,BW-A15029,10420867,CSIRO H 8286-02,GT 11729,"CSIRO, Australian National Fish Collection",,BOLD:AAB2675,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1282,Scorpaenidae,47142,Pteroinae,4014,Pterois,47144,Pterois volitans,,,Mizuki Matsunuma,,"Linnaeus, 1758",,,,,,,,,,,,,,,,,,,,-19.7815,116.012,,,,,,,Australia,Western Australia,,,NW of Dampier Archipelago (Pilbara Fish Trawl Fish,,,,,,,,,
GAMBA499-12,GAM-366,2935478,USNM:FISH:402584,GAM-366,"Smithsonian Institution, National Museum of Natural History",,BOLD:AAB2674,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1282,Scorpaenidae,47142,Pteroinae,4014,Pterois,10738,Pterois antennata,,,Jeff Williams,,"Bloch, 1787",,Vouchered:Registered Collection,,,"Jeff Williams, Serge Planes, Pierre Sasal, Erwan Delrieu-Trottin",,,,"Collection depth: 25-31 m.|Gambier Archipelago, Ilots Tenoko, northwest of Mangareva on barrier reef, outer reef drop off on northwest side of archipelago, just north of Tenoko Islet, lots of live coral.",,,,,,,,,,SL=100 mm.,-23.072,-135.013,,,,25,,-6,French Polynesia,Tuamotu-Gambier,,,,3204652,http://www.boldsystems.org/pics/GAMBA/USNM_402584_photograph_GAM_366_100mmSL_GAM_2010_15+1507819120.JPG,Lateral,USNM 402584 photograph lateral view,,2010,CreativeCommons – Attribution Non-Commercial (by-nc),Smithsonian Institution National Museum of Natural History,Jeffrey T. Williams
GAMBA538-12,GAM-407,2935517,USNM:FISH:402586,GAM-407,"Smithsonian Institution, National Museum of Natural History",,BOLD:AAB2674,18,Chordata,77,Actinopterygii,258,Scorpaeniformes,1282,Scorpaenidae,47142,Pteroinae,4014,Pterois,10738,Pterois antennata,,,Jeff Williams,,"Bloch, 1787",,Vouchered:Registered Collection,,,"Jeff Williams, Serge Planes, Erwan Delrieu-Trottin, Michel Veuille, Christophe Menniti",,,,"Collection depth: 8-12 m.|Gambier Archipelago, Ilots Tenoko, northwest of Mangareva on barrier reef, outer reef slope just outside breakers on northwest side of archipelago, just north of Tenoko Islet, lots of live coral, channel with sand bottom.",,,,,,,,,,SL=86.1 mm.,-23.0729,-135.012,,,,8,,-4,French Polynesia,Tuamotu-Gambier,,,,3204654,http://www.boldsystems.org/pics/GAMBA/USNM_402586_photograph_GAM_407_86.1mmSL_GAM_2010_16+1507819126.JPG,Lateral,USNM 402586 photograph lateral view,,2010,CreativeCommons – Attribution Non-Commercial (by-nc),Smithsonian Institution National Museum of Natural History,Jeffrey T. Williams
